/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/SoftPartialConv_limited-low_lrlog.txt
cuda: cuda:1
Version: SoftPartialConv_limited-low_lr
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2/train_alpha
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 1/160000 | Epoch: 1 | itr: 1/7500 | Loss_G: 256.53741
Tot_itrs: 2/160000 | Epoch: 1 | itr: 2/7500 | Loss_G: 238.37442
Tot_itrs: 3/160000 | Epoch: 1 | itr: 3/7500 | Loss_G: 415.08557
Tot_itrs: 4/160000 | Epoch: 1 | itr: 4/7500 | Loss_G: 320.52963
Tot_itrs: 5/160000 | Epoch: 1 | itr: 5/7500 | Loss_G: 345.32278
Tot_itrs: 6/160000 | Epoch: 1 | itr: 6/7500 | Loss_G: 302.40509
Tot_itrs: 7/160000 | Epoch: 1 | itr: 7/7500 | Loss_G: 219.75693
Tot_itrs: 8/160000 | Epoch: 1 | itr: 8/7500 | Loss_G: 276.45999
Tot_itrs: 9/160000 | Epoch: 1 | itr: 9/7500 | Loss_G: 275.76129
Tot_itrs: 10/160000 | Epoch: 1 | itr: 10/7500 | Loss_G: 299.89362
Tot_itrs: 11/160000 | Epoch: 1 | itr: 11/7500 | Loss_G: 308.40253
Tot_itrs: 12/160000 | Epoch: 1 | itr: 12/7500 | Loss_G: 319.36676
Tot_itrs: 13/160000 | Epoch: 1 | itr: 13/7500 | Loss_G: 190.72293
Tot_itrs: 14/160000 | Epoch: 1 | itr: 14/7500 | Loss_G: 319.81750
Tot_itrs: 15/160000 | Epoch: 1 | itr: 15/7500 | Loss_G: 312.60284
Tot_itrs: 16/160000 | Epoch: 1 | itr: 16/7500 | Loss_G: 386.55875
Tot_itrs: 17/160000 | Epoch: 1 | itr: 17/7500 | Loss_G: 339.91068
Tot_itrs: 18/160000 | Epoch: 1 | itr: 18/7500 | Loss_G: 237.04501
Tot_itrs: 19/160000 | Epoch: 1 | itr: 19/7500 | Loss_G: 318.56372
Tot_itrs: 20/160000 | Epoch: 1 | itr: 20/7500 | Loss_G: 295.09018
Tot_itrs: 21/160000 | Epoch: 1 | itr: 21/7500 | Loss_G: 463.70084
Tot_itrs: 22/160000 | Epoch: 1 | itr: 22/7500 | Loss_G: 207.88853
Tot_itrs: 23/160000 | Epoch: 1 | itr: 23/7500 | Loss_G: 253.07617
Tot_itrs: 24/160000 | Epoch: 1 | itr: 24/7500 | Loss_G: 342.13474
Tot_itrs: 25/160000 | Epoch: 1 | itr: 25/7500 | Loss_G: 226.84662
Tot_itrs: 26/160000 | Epoch: 1 | itr: 26/7500 | Loss_G: 261.69257
Tot_itrs: 27/160000 | Epoch: 1 | itr: 27/7500 | Loss_G: 202.83531
Tot_itrs: 28/160000 | Epoch: 1 | itr: 28/7500 | Loss_G: 251.66989
Tot_itrs: 29/160000 | Epoch: 1 | itr: 29/7500 | Loss_G: 239.32089
Tot_itrs: 30/160000 | Epoch: 1 | itr: 30/7500 | Loss_G: 302.34683
Tot_itrs: 31/160000 | Epoch: 1 | itr: 31/7500 | Loss_G: 234.31822
Tot_itrs: 32/160000 | Epoch: 1 | itr: 32/7500 | Loss_G: 469.21069
Tot_itrs: 33/160000 | Epoch: 1 | itr: 33/7500 | Loss_G: 289.45306
Tot_itrs: 34/160000 | Epoch: 1 | itr: 34/7500 | Loss_G: 282.38690
Tot_itrs: 35/160000 | Epoch: 1 | itr: 35/7500 | Loss_G: 219.65311
Tot_itrs: 36/160000 | Epoch: 1 | itr: 36/7500 | Loss_G: 222.36575
Tot_itrs: 37/160000 | Epoch: 1 | itr: 37/7500 | Loss_G: 375.20041
Tot_itrs: 38/160000 | Epoch: 1 | itr: 38/7500 | Loss_G: 162.49643
Tot_itrs: 39/160000 | Epoch: 1 | itr: 39/7500 | Loss_G: 552.08472
Tot_itrs: 40/160000 | Epoch: 1 | itr: 40/7500 | Loss_G: 315.58136
Tot_itrs: 41/160000 | Epoch: 1 | itr: 41/7500 | Loss_G: 242.20798
Tot_itrs: 42/160000 | Epoch: 1 | itr: 42/7500 | Loss_G: 230.30736
Tot_itrs: 43/160000 | Epoch: 1 | itr: 43/7500 | Loss_G: 281.78867
Tot_itrs: 44/160000 | Epoch: 1 | itr: 44/7500 | Loss_G: 396.53317
Tot_itrs: 45/160000 | Epoch: 1 | itr: 45/7500 | Loss_G: 248.52707
Tot_itrs: 46/160000 | Epoch: 1 | itr: 46/7500 | Loss_G: 258.53033
Tot_itrs: 47/160000 | Epoch: 1 | itr: 47/7500 | Loss_G: 306.44904
Tot_itrs: 48/160000 | Epoch: 1 | itr: 48/7500 | Loss_G: 207.21822
Tot_itrs: 49/160000 | Epoch: 1 | itr: 49/7500 | Loss_G: 387.67407
Tot_itrs: 50/160000 | Epoch: 1 | itr: 50/7500 | Loss_G: 255.53288
Tot_itrs: 51/160000 | Epoch: 1 | itr: 51/7500 | Loss_G: 281.72488
Tot_itrs: 52/160000 | Epoch: 1 | itr: 52/7500 | Loss_G: 257.24948
Tot_itrs: 53/160000 | Epoch: 1 | itr: 53/7500 | Loss_G: 242.02339
Tot_itrs: 54/160000 | Epoch: 1 | itr: 54/7500 | Loss_G: 242.50246
Tot_itrs: 55/160000 | Epoch: 1 | itr: 55/7500 | Loss_G: 319.91547
Tot_itrs: 56/160000 | Epoch: 1 | itr: 56/7500 | Loss_G: 168.28801
Tot_itrs: 57/160000 | Epoch: 1 | itr: 57/7500 | Loss_G: 328.97772
Tot_itrs: 58/160000 | Epoch: 1 | itr: 58/7500 | Loss_G: 246.10718
Tot_itrs: 59/160000 | Epoch: 1 | itr: 59/7500 | Loss_G: 248.20396
Tot_itrs: 60/160000 | Epoch: 1 | itr: 60/7500 | Loss_G: 250.95216
Tot_itrs: 61/160000 | Epoch: 1 | itr: 61/7500 | Loss_G: 204.53609
Tot_itrs: 62/160000 | Epoch: 1 | itr: 62/7500 | Loss_G: 216.04294
