/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/occupylog.txt
cuda: cuda:0
Version: occupy
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 1/800000 | Epoch: 1 | itr: 1/7500 | Loss_G: 312782618624.00000
Tot_itrs: 2/800000 | Epoch: 1 | itr: 2/7500 | Loss_G: 83807559680.00000
Tot_itrs: 3/800000 | Epoch: 1 | itr: 3/7500 | Loss_G: 70633897984.00000
Tot_itrs: 4/800000 | Epoch: 1 | itr: 4/7500 | Loss_G: 35184259072.00000
Tot_itrs: 5/800000 | Epoch: 1 | itr: 5/7500 | Loss_G: 77615898624.00000
Tot_itrs: 6/800000 | Epoch: 1 | itr: 6/7500 | Loss_G: 460470321152.00000
Tot_itrs: 7/800000 | Epoch: 1 | itr: 7/7500 | Loss_G: 41400360960.00000
Tot_itrs: 8/800000 | Epoch: 1 | itr: 8/7500 | Loss_G: 145406296064.00000
Tot_itrs: 9/800000 | Epoch: 1 | itr: 9/7500 | Loss_G: 27641153536.00000
Tot_itrs: 10/800000 | Epoch: 1 | itr: 10/7500 | Loss_G: 2931794432.00000
Tot_itrs: 11/800000 | Epoch: 1 | itr: 11/7500 | Loss_G: 37095481344.00000
Tot_itrs: 12/800000 | Epoch: 1 | itr: 12/7500 | Loss_G: 45035892736.00000
Tot_itrs: 13/800000 | Epoch: 1 | itr: 13/7500 | Loss_G: 9582853120.00000
Tot_itrs: 14/800000 | Epoch: 1 | itr: 14/7500 | Loss_G: 8630837248.00000
Tot_itrs: 15/800000 | Epoch: 1 | itr: 15/7500 | Loss_G: 725362432.00000
Tot_itrs: 16/800000 | Epoch: 1 | itr: 16/7500 | Loss_G: 1052111616.00000
Tot_itrs: 17/800000 | Epoch: 1 | itr: 17/7500 | Loss_G: 210655456.00000
Tot_itrs: 18/800000 | Epoch: 1 | itr: 18/7500 | Loss_G: 65201968.00000
Tot_itrs: 19/800000 | Epoch: 1 | itr: 19/7500 | Loss_G: 4942294016.00000
Tot_itrs: 20/800000 | Epoch: 1 | itr: 20/7500 | Loss_G: 601964608.00000
Tot_itrs: 21/800000 | Epoch: 1 | itr: 21/7500 | Loss_G: 3181046528.00000
Tot_itrs: 22/800000 | Epoch: 1 | itr: 22/7500 | Loss_G: 228665232.00000
Tot_itrs: 23/800000 | Epoch: 1 | itr: 23/7500 | Loss_G: 2844658944.00000
Tot_itrs: 24/800000 | Epoch: 1 | itr: 24/7500 | Loss_G: 877519104.00000
Tot_itrs: 25/800000 | Epoch: 1 | itr: 25/7500 | Loss_G: 1626923136.00000
Tot_itrs: 26/800000 | Epoch: 1 | itr: 26/7500 | Loss_G: 176389072.00000
Tot_itrs: 27/800000 | Epoch: 1 | itr: 27/7500 | Loss_G: 750964992.00000
Tot_itrs: 28/800000 | Epoch: 1 | itr: 28/7500 | Loss_G: 3079332096.00000
Tot_itrs: 29/800000 | Epoch: 1 | itr: 29/7500 | Loss_G: 288523552.00000
Tot_itrs: 30/800000 | Epoch: 1 | itr: 30/7500 | Loss_G: 458528384.00000
Tot_itrs: 31/800000 | Epoch: 1 | itr: 31/7500 | Loss_G: 2362775040.00000
Tot_itrs: 32/800000 | Epoch: 1 | itr: 32/7500 | Loss_G: 83852528.00000
Tot_itrs: 33/800000 | Epoch: 1 | itr: 33/7500 | Loss_G: 430563008.00000
Tot_itrs: 34/800000 | Epoch: 1 | itr: 34/7500 | Loss_G: 473028544.00000
Tot_itrs: 35/800000 | Epoch: 1 | itr: 35/7500 | Loss_G: 255512416.00000
Tot_itrs: 36/800000 | Epoch: 1 | itr: 36/7500 | Loss_G: 1853504512.00000
Tot_itrs: 37/800000 | Epoch: 1 | itr: 37/7500 | Loss_G: 88161.71094
Tot_itrs: 38/800000 | Epoch: 1 | itr: 38/7500 | Loss_G: 299691968.00000
Tot_itrs: 39/800000 | Epoch: 1 | itr: 39/7500 | Loss_G: 115443880.00000
Tot_itrs: 40/800000 | Epoch: 1 | itr: 40/7500 | Loss_G: 741975552.00000
Tot_itrs: 41/800000 | Epoch: 1 | itr: 41/7500 | Loss_G: 520883200.00000
Tot_itrs: 42/800000 | Epoch: 1 | itr: 42/7500 | Loss_G: 183314624.00000
