Start Time: 2024年 12月 06日 星期五 15:52:54 CST
/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/dunhuanglog.txt
cuda: cuda:1
Version: dunhuang
content dir: /mnt/sda/Dataset/Detection/COCO/train2017
style dir: /mnt/sda/Dataset/style_image/dunhuang_style/crop_256/origin
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 1/160000 | Epoch: 1 | itr: 1/7500 | Loss_G: 781.27161
Tot_itrs: 2/160000 | Epoch: 1 | itr: 2/7500 | Loss_G: 31043021960395096064.00000
Tot_itrs: 3/160000 | Epoch: 1 | itr: 3/7500 | Loss_G: 76859161316425728000.00000
Tot_itrs: 4/160000 | Epoch: 1 | itr: 4/7500 | Loss_G: 3449959074949496832.00000
Tot_itrs: 5/160000 | Epoch: 1 | itr: 5/7500 | Loss_G: 413172864577961984.00000
Tot_itrs: 6/160000 | Epoch: 1 | itr: 6/7500 | Loss_G: 179824851844857856.00000
Tot_itrs: 7/160000 | Epoch: 1 | itr: 7/7500 | Loss_G: 1581815701834825728.00000
Tot_itrs: 8/160000 | Epoch: 1 | itr: 8/7500 | Loss_G: 975022103780655104.00000
Tot_itrs: 9/160000 | Epoch: 1 | itr: 9/7500 | Loss_G: 196123771696840704.00000
Tot_itrs: 10/160000 | Epoch: 1 | itr: 10/7500 | Loss_G: 348731347067469824.00000
Tot_itrs: 11/160000 | Epoch: 1 | itr: 11/7500 | Loss_G: 875594366792499200.00000
Tot_itrs: 12/160000 | Epoch: 1 | itr: 12/7500 | Loss_G: 283375894876127232.00000
Tot_itrs: 13/160000 | Epoch: 1 | itr: 13/7500 | Loss_G: 134761075722682368.00000
Tot_itrs: 14/160000 | Epoch: 1 | itr: 14/7500 | Loss_G: 61372570103971840.00000
Tot_itrs: 15/160000 | Epoch: 1 | itr: 15/7500 | Loss_G: 94323872731496448.00000
Tot_itrs: 16/160000 | Epoch: 1 | itr: 16/7500 | Loss_G: 34877539625205760.00000
Tot_itrs: 17/160000 | Epoch: 1 | itr: 17/7500 | Loss_G: 122312516742152192.00000
Tot_itrs: 18/160000 | Epoch: 1 | itr: 18/7500 | Loss_G: 221328426496163840.00000
Tot_itrs: 19/160000 | Epoch: 1 | itr: 19/7500 | Loss_G: 790802641398530048.00000
Tot_itrs: 20/160000 | Epoch: 1 | itr: 20/7500 | Loss_G: 19326818108571648.00000
Tot_itrs: 21/160000 | Epoch: 1 | itr: 21/7500 | Loss_G: 369851625407250432.00000
Tot_itrs: 22/160000 | Epoch: 1 | itr: 22/7500 | Loss_G: 107054954660757504.00000
Tot_itrs: 23/160000 | Epoch: 1 | itr: 23/7500 | Loss_G: 391782037658271744.00000
Tot_itrs: 24/160000 | Epoch: 1 | itr: 24/7500 | Loss_G: 147756667507834880.00000
Tot_itrs: 25/160000 | Epoch: 1 | itr: 25/7500 | Loss_G: 44191322235469824.00000
Tot_itrs: 26/160000 | Epoch: 1 | itr: 26/7500 | Loss_G: 18580425806970880.00000
Tot_itrs: 27/160000 | Epoch: 1 | itr: 27/7500 | Loss_G: 203863045066194944.00000
Tot_itrs: 28/160000 | Epoch: 1 | itr: 28/7500 | Loss_G: 4265125057921024.00000
Tot_itrs: 29/160000 | Epoch: 1 | itr: 29/7500 | Loss_G: 72532437032239104.00000
Tot_itrs: 30/160000 | Epoch: 1 | itr: 30/7500 | Loss_G: 143322989948043264.00000
Tot_itrs: 31/160000 | Epoch: 1 | itr: 31/7500 | Loss_G: 55053453440843776.00000
Tot_itrs: 32/160000 | Epoch: 1 | itr: 32/7500 | Loss_G: 14039109924290560.00000
Tot_itrs: 33/160000 | Epoch: 1 | itr: 33/7500 | Loss_G: 19693672740159488.00000
Tot_itrs: 34/160000 | Epoch: 1 | itr: 34/7500 | Loss_G: 10235789682147328.00000
Tot_itrs: 35/160000 | Epoch: 1 | itr: 35/7500 | Loss_G: 39760745642065920.00000
Tot_itrs: 36/160000 | Epoch: 1 | itr: 36/7500 | Loss_G: 26352398909833216.00000
Tot_itrs: 37/160000 | Epoch: 1 | itr: 37/7500 | Loss_G: 12026670785495040.00000
Tot_itrs: 38/160000 | Epoch: 1 | itr: 38/7500 | Loss_G: 113416952277368832.00000
